DOI,Publication Year,Title,Primary,Countries,Pathogens
10.3201/eid3105.241948,2025,"High Prevalence of Influenza D Virus Infection in Swine, Northern Ireland",,,
10.3201/eid3105.241690,2025,"Clade Ia Monkeypox Virus Linked to Sexual Transmission, Democratic Republic of the Congo, August 2024",,,
10.3201/eid3105.241790,2025,"Increased Pneumonia-Related Emergency Department Visits, Northern Italy",,,
10.3201/eid3106.241558,2025,"Safety and Immunogenicity of Poultry Vaccine for Protecting Critically Endangered Avian Species against Highly Pathogenic Avian Influenza Virus, United States",,,
10.3201/eid3105.241657,2025,"Metagenomic Identification of Fusarium solani Strain as Cause of US Fungal Meningitis Outbreak Associated with Surgical Procedures in Mexico, 2023",,,
10.3201/eid3105.241123,2025,"Influenza A(H1N1)pdm09 Virus with Reduced Susceptibility to Baloxavir, Japan, 2024",,,
10.3201/eid3105.241749,2025,"Outbreak of Marburg Virus Disease, Equatorial Guinea, 2023",,,
10.3201/eid3113.250087,2025,"Establishing Methods to Monitor Influenza (A)H5N1 Virus in Dairy Cattle Milk, Massachusetts, USA",,,
10.3201/eid3104.241720,2025,"Detection of Batborne Hantaviruses, Laos, 2023-2024",,,
10.3201/eid3104.241003,2025,"Reemergence of Brucella abortus, Israel, 2021",,,
10.3201/eid3104.231435,2025,"Increased Recognition of Human Anaplasmosis, Ontario, Canada, 2021",,,
10.3201/eid3104.240963,2025,"Genomic Characterization of Yersinia enterocolitica Isolates, Costa Rica",,,
10.3201/eid3104.241214,2025,"Coxiella burnetii Infections Identified by Molecular Methods, United States, 2006-2023",,,
10.3201/eid3104.240108,2025,"Yellow Fever Virus in Mosquitoes from Rainforest Bordering Manaus, Brazil, 2022",,,
10.3201/eid3104.241002,2025,"Exposure of Wild Mammals to Influenza A(H5N1) Virus, Alaska, USA, 2020-2023",,,
10.3201/eid3104.241176,2025,Detection and Decontamination of Chronic Wasting Disease Prions during Venison Processing,,,
10.3201/eid3104.240577,2025,"Onset of Alpha-Gal Syndrome after Tick Bite, Washington, USA",,,
10.3201/eid3104.241172,2025,Attribution of Salmonella enterica to Food Sources by Using Whole-Genome Sequencing Data,,,
10.3201/eid3104.241520,2025,"Neutralizing Antibodies against California Serogroup Orthobunyaviruses in Human Serum Samples, Montana, USA",,,
10.3201/eid3104.241293,2025,"Dynamics of Bagaza, West Nile, and Usutu Viruses in Red-Legged Partridges, Portugal, 2018-2022",,,
10.3201/eid3104.241265,2025,"Alpha-Gal Syndrome after Ixodes scapularis Tick Bite and Statewide Surveillance, Maine, USA, 2014-2023",,,
10.3201/eid3104.241812,2025,"Bartonella quintana Endocarditis and Pauci-Immune Glomerulonephritis in Patient with Known Risk Factors, USA, 2024",,,
10.3201/eid3104.241562,2025,"Yaws Circulating in Nonhuman Primates, Uganda and Rwanda",,,
10.3201/eid3104.241503,2025,"Local Circulation of Sindbis Virus in Wild Birds and Horses, the Netherlands, 2021-2022",,,
10.3201/eid3104.241721,2025,"Brucella suis Infection in Cardiac Implantable Device of Man Exposed to Feral Swine Meat, Florida, USA",,,
10.3201/eid3104.241936,2025,"Human Adenovirus B55 Infection in Patient without Recent Travel History, France",,,
10.3201/eid3104.241602,2025,"Spread of Dual-Resistant Mycoplasma genitalium Clone among Men, France, 2021-2022",,,
10.3201/eid3104.250074,2025,"Rabbit Hepatitis E Virus, Ukraine, 2024",,,
10.3201/eid3104.241197,2025,"Prevalence of Herpes B Virus in Wild Long-Tailed Macaques, Thailand, 2018-2024",,,
10.3201/eid3104.241329,2025,"Lower Frequency of Multiple Erythema Migrans Skin Lesions in Lyme Reinfections, Europe",,,
10.3201/eid3104.241872,2025,"Nipah Virus Detection in Pteropus hypomelanus Bats, Central Java, Indonesia",,,
10.3201/eid3104.241463,2025,"Population-Based Matched Cohort Study of COVID-19 Healthcare Costs, Ontario, Canada",,,
10.3201/eid3104.240913,2025,"Foodborne Illness Acquired in the United States-Major Pathogens, 2019",,,
10.3201/eid3104.241193,2025,Predictive Model for Estimating Annual Ebolavirus Spillover Potential,,,
10.3201/eid3104.241284,2025,"Alistipes Bacteremia in Older Patients with Digestive and Cancer Comorbidities, Japan, 2016-2023",,,
10.3201/eid3104.240060,2025,"Case-Control Study of Factors Associated with Hemolytic Uremic Syndrome among Shiga Toxin-Producing Escherichia coli Patients, Ireland, 2017-2020",,,
10.3201/eid3104.241574,2025,"Oz Virus Infection in 6 Animal Species, Including Macaques, Bears, and Companion Animals, Japan",,,
10.3201/eid3104.240414,2025,"Epidemiology of Tularemia among Humans and Animals, Baden-Wuerttemberg, Germany, 2012-2022",,,
10.3201/eid3105.241338,2025,"Recent and Forecasted Increases in Coccidioidomycosis Incidence Linked to Hydroclimatic Swings, California, USA",,,
10.3201/eid3105.241299,2025,"Clinical and Epidemiologic Characteristics of Mpox Cases, Dominican Republic, July 2022-February 2023",,,
10.3201/eid3104.241471,2025,"Molecular Epidemiology of Oropouche Virus, Ceará State, Brazil, 2024",,,
10.3201/eid3104.241615,2025,"Highly Pathogenic Avian Influenza A(H5N1) Virus Stability in Irradiated Raw Milk and Wastewater and on Surfaces, United States",,,
10.3201/eid3104.241396,2025,"Carbapenem-Resistant, Virulence Plasmid-Harboring Klebsiella pneumoniae, United States",,,
10.3201/eid3104.241820,2025,"Antiviral Susceptibility of Influenza A(H5N1) Clade 2.3.2.1c and 2.3.4.4b Viruses from Humans, 2023-2024",,,
10.3201/eid3104.241748,2025,"Co-Circulation of 2 Oropouche Virus Lineages during Outbreak, Amazon Region of Peru, 2023-2024",,,
10.3201/eid3104.250007,2025,"Neutralizing Antibody Response to Influenza A(H5N1) Virus in Dairy Farm Workers, Michigan, USA",,,
10.3201/eid3103.241211,2025,"Corynebacterium diphtheriae Infections, South Africa, 2015-2023",,,
10.3201/eid3103.241485,2025,Influenza A(H5N1) Immune Response among Ferrets with Influenza A(H1N1)pdm09 Immunity,,,
10.3201/eid3103.241317,2025,"Postelimination Cluster of Lymphatic Filariasis, Futuna, 2024",,,
10.3201/eid3103.241182,2025,Meningococcal Sepsis in Patient with Paroxysmal Nocturnal Hemoglobinuria during Pegcetacoplan Therapy,,,
10.3201/eid3103.241473,2025,Evaluation of High-Dose Isoniazid in Multidrug-Resistant Tuberculosis Treatment,,,
10.3201/eid3103.241272,2025,"Outbreak Caused by Multidrug-Resistant Mycobacterium Tuberculosis with Unusual Combination of Resistance Mutations, Northern Argentina, 2006-2022",,,
10.3201/eid3103.241831,2025,"Multidrug-Resistant Mycobacterium tuberculosis in a Community Hospital, Luanda, Angola",,,
10.3201/eid3103.241489,2025,Effect of Prior Influenza A(H1N1)pdm09 Virus Infection on Pathogenesis and Transmission of Human Influenza A(H5N1) Clade 2.3.4.4b Virus in Ferret Model,,,
10.3201/eid3103.241493,2025,Cefotaxime-Resistant Neisseria meningitidis Sequence Type 4821 Causing Fulminant Meningitis,,,
10.3201/eid3103.241254,2025,"A 28-Year Multicenter Cohort Study of Nontuberculous Mycobacterial Lymphadenitis in Children, Spain",,,
10.3201/eid3103.240174,2025,"Identification of 2 Novel Species, Mycobacterium novusgordonae and M. shingordonae",,,
10.3201/eid3103.241640,2025,"Simultaneous Detection of Sarcocystis hominis, S. heydorni, and S. sigmoideus in Human Intestinal Sarcocystosis, France, 2021-2024",,,
