PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"20202428","Etymologia: yersinia","Alexandre Yersin BW.","Emerg Infect Dis. 2010 Mar;16(3):496. doi: 10.3201/eid1603.et1603.","Alexandre Yersin BW","Emerg Infect Dis","2010","2010/03/06","PMC3322047","","10.3201/eid1603.et1603"
"17283645","Resistance to dihydroartemisinin","Cojean S, Hubert V, Le Bras J, Durand R.","Emerg Infect Dis. 2006 Nov;12(11):1798-9. doi: 10.3201/eid1211.060903.","Cojean S","Emerg Infect Dis","2006","2007/02/08","PMC3372362","","10.3201/eid1211.060903"
"20113545","Effects of coronavirus infections in children","Principi N, Bosis S, Esposito S.","Emerg Infect Dis. 2010 Feb;16(2):183-8. doi: 10.3201/eid1602.090469.","Principi N","Emerg Infect Dis","2010","2010/02/02","PMC2957994","","10.3201/eid1602.090469"
"17283611","Emerging infections and pregnancy","Jamieson DJ, Theiler RN, Rasmussen SA.","Emerg Infect Dis. 2006 Nov;12(11):1638-43. doi: 10.3201/eid1211.060152.","Jamieson DJ","Emerg Infect Dis","2006","2007/02/08","PMC3372330","","10.3201/eid1211.060152"
"17080586","Congenital visceral leishmaniasis","Boehme CC, Hain U, Novosel A, Eichenlaub S, Fleischmann E, Löscher T.","Emerg Infect Dis. 2006 Feb;12(2):359-60. doi: 10.3201/eid1202.050449d.","Boehme CC","Emerg Infect Dis","2006","2006/11/04","PMC3373117","","10.3201/eid1202.050449d"
"20202410","Bartonella spp. transmission by ticks not established","Telford SR 3rd, Wormser GP.","Emerg Infect Dis. 2010 Mar;16(3):379-84. doi: 10.3201/eid1603.090443.","Telford SR 3rd","Emerg Infect Dis","2010","2010/03/06","PMC3322007","","10.3201/eid1603.090443"
"17073077","Nosocomial tuberculosis in India","Pai M, Kalantri S, Aggarwal AN, Menzies D, Blumberg HM.","Emerg Infect Dis. 2006 Sep;12(9):1311-8. doi: 10.3201/eid1209.051663.","Pai M","Emerg Infect Dis","2006","2006/11/01","PMC3294738","","10.3201/eid1209.051663"
"21122210","Cyprinid herpesvirus 3","Michel B, Fournier G, Lieffrig F, Costes B, Vanderplasschen A.","Emerg Infect Dis. 2010 Dec;16(12):1835-43. doi: 10.3201/eid1612.100593.","Michel B","Emerg Infect Dis","2010","2010/12/03","PMC3294573","","10.3201/eid1612.100593"
"21029529","Decrease in shigellosis-related deaths without Shigella spp.-specific interventions, Asia","Bardhan P, Faruque AS, Naheed A, Sack DA.","Emerg Infect Dis. 2010 Nov;16(11):1718-23. doi: 10.3201/eid1611.090934.","Bardhan P","Emerg Infect Dis","2010","2010/10/30","PMC3294502","","10.3201/eid1611.090934"
"20507753","Novel betaherpesvirus in bats","Watanabe S, Maeda K, Suzuki K, Ueda N, Iha K, Taniguchi S, Shimoda H, Kato K, Yoshikawa Y, Morikawa S, Kurane I, Akashi H, Mizutani T.","Emerg Infect Dis. 2010 Jun;16(6):986-8. doi: 10.3201/eid1606.091567.","Watanabe S","Emerg Infect Dis","2010","2010/05/29","PMC3086227","","10.3201/eid1606.091567"
"20678344","Not-so-novel Michigan rabbit calicivirus","Abrantes J, Esteves PJ.","Emerg Infect Dis. 2010 Aug;16(8):1331-2; author reply 1332. doi: 10.3201/eid1608.091803.","Abrantes J","Emerg Infect Dis","2010","2010/08/04","PMC3298318","","10.3201/eid1608.091803"
"20031058","Hepatitis E epidemic, Uganda","Teshale EH, Howard CM, Grytdal SP, Handzel TR, Barry V, Kamili S, Drobeniuc J, Okware S, Downing R, Tappero JW, Bakamutumaho B, Teo CG, Ward JW, Holmberg SD, Hu DJ.","Emerg Infect Dis. 2010 Jan;16(1):126-9. doi: 10.3201/eid1601.090764.","Teshale EH","Emerg Infect Dis","2010","2009/12/25","PMC2874362","","10.3201/eid1601.090764"
"17479908","Mal de Mayo","Foster RT Sr.","Emerg Infect Dis. 2007 Feb;13(2):337-40. doi: 10.3201/eid1302.060902.","Foster RT Sr","Emerg Infect Dis","2007","2007/05/08","PMC2725851","","10.3201/eid1302.060902"
"17553280","Bluetongue in Belgium, 2006","Toussaint JF, Sailleau C, Mast J, Houdart P, Czaplicki G, Demeestere L, VandenBussche F, van Dessel W, Goris N, Bréard E, Bounaadja L, Etienne T, Zientara S, De Clercq K.","Emerg Infect Dis. 2007 Apr;13(4):614-6. doi: 10.3201/eid1304.061136.","Toussaint JF","Emerg Infect Dis","2007","2007/06/08","PMC2725968","","10.3201/eid1304.061136"
"17326931","Ecologic niche modeling and spatial patterns of disease transmission","Peterson AT.","Emerg Infect Dis. 2006 Dec;12(12):1822-6. doi: 10.3201/eid1212.060373.","Peterson AT","Emerg Infect Dis","2006","2007/03/01","PMC3291346","","10.3201/eid1212.060373"
"20202433","Q fever in Greenland","Koch A, Svendsen CB, Christensen JJ, Bundgaard H, Vindfeld L, Christiansen CB, Kemp M, Villumsen S.","Emerg Infect Dis. 2010 Mar;16(3):511-3. doi: 10.3201/eid1603.091220.","Koch A","Emerg Infect Dis","2010","2010/03/06","PMC3322027","","10.3201/eid1603.091220"
"17370533","Human subcutaneous dirofilariasis, Russia","Kramer LH, Kartashev VV, Grandi G, Morchón R, Nagornii SA, Karanis P, Simón F.","Emerg Infect Dis. 2007 Jan;13(1):150-2. doi: 10.3201/eid1301.060920.","Kramer LH","Emerg Infect Dis","2007","2007/03/21","PMC2725808","","10.3201/eid1301.060920"
"17176580","Scrub typhus in Himalayas","Mahajan SK, Rolain JM, Kashyap R, Bakshi D, Sharma V, Prasher BS, Pal LS, Raoult D.","Emerg Infect Dis. 2006 Oct;12(10):1590-2. doi: 10.3201/eid1210.051697.","Mahajan SK","Emerg Infect Dis","2006","2006/12/21","PMC3290934","","10.3201/eid1210.051697"
"20507773","Lassa fever, Nigeria, 2005-2008","Ehichioya DU, Hass M, Olschläger S, Becker-Ziaja B, Onyebuchi Chukwu CO, Coker J, Nasidi A, Ogugua OO, Günther S, Omilabu SA.","Emerg Infect Dis. 2010 Jun;16(6):1040-1. doi: 10.3201/eid1606.100080.","Ehichioya DU","Emerg Infect Dis","2010","2010/05/29","PMC3086228","","10.3201/eid1606.100080"
"16752474","Weeds","Valdiserri RO.","Emerg Infect Dis. 2006 Jun;12(6):1031-2. doi: 10.3201/eid1206.ad1206.","Valdiserri RO","Emerg Infect Dis","2006","2006/06/07","PMC3373032","","10.3201/eid1206.ad1206"
"20113559","New hypothesis for cause of epidemic among native Americans, New England, 1616-1619","Marr JS, Cathey JT.","Emerg Infect Dis. 2010 Feb;16(2):281-6. doi: 10.3201/eid1602.090276.","Marr JS","Emerg Infect Dis","2010","2010/02/02","PMC2957993","","10.3201/eid1602.090276"
"17283613","Anatidae migration in the western Palearctic and spread of highly pathogenic avian influenza H5NI virus","Gilbert M, Xiao X, Domenech J, Lubroth J, Martin V, Slingenbergh J.","Emerg Infect Dis. 2006 Nov;12(11):1650-6. doi: 10.3201/eid1211.060223.","Gilbert M","Emerg Infect Dis","2006","2007/02/08","PMC3372333","","10.3201/eid1211.060223"
"16707055","2,500-year evolution of the term epidemic","Martin PM, Martin-Granel E.","Emerg Infect Dis. 2006 Jun;12(6):976-80. doi: 10.3201/eid1206.051263.","Martin PM","Emerg Infect Dis","2006","2006/05/19","PMC3373038","","10.3201/eid1206.051263"
