DOI,Title,Primary,Countries,Pathogens
10.3201/eid3101.230638,"Research and Development of Medical Countermeasures for Emerging Infectious Diseases, China, 1990-2022",No,,
10.3201/eid3101.240915,"Equine Encephalomyelitis Outbreak, Uruguay, 2023-2024",Yes,Uruguay,Eastern equine encephalitis virus
10.3201/eid3102.241507,"Amebiasis in Mexico, 2014-2023",Yes,Mexico,Entamoeba histolytica
10.3201/eid3101.241230,The Rise of Mpox in a Post-Smallpox World,No,,
10.3201/eid3101.241343,Systematic Review of Avian Influenza Virus Infection and Outcomes during Pregnancy,No,,
10.3201/eid3101.241026,Global Health's Evolution and Search for Identity,No,,
10.3201/eid3101.241516,A Step Forward in Hypervirulent Klebsiella pneumoniae Diagnostics,No,,
10.3201/eid3101.240151,Rickettsia sibirica mongolitimonae Infections in Spain and Case Review of the Literature,Yes,Spain,Rickettsia sibirica mongolitimonae
10.3201/eid3102.240903,"Prions in Muscles of Cervids with Chronic Wasting Disease, Norway",Yes,Norway,Chronic wasting disease
10.3201/eid3102.240983,Sudan Virus Persistence in Immune-Privileged Organs of Nonhuman Primate Survivors,No,,
10.3201/eid3101.240568,Domestic Cat Hepadnavirus Infection in Iberian Lynxes,Yes,Spain,Domestic cat hepadnavirus
10.3201/eid3102.241155,"Henipavirus in Northern Short-Tailed Shrew, Alabama, USA",Yes,USA,Novel henipavirus
10.3201/eid3101.240321,"Pneumococcal Septic Arthritis among Adults, France, 2010-2018",Yes,France,Streptococcus pneumoniae
10.3201/eid3101.241452,Oropouche Virus Genome in Semen and Other Body Fluids from Traveler,Yes,"The Netherlands,Cuba",Oropouche virus
10.3201/eid3102.240279,"National Surveillance of Human Ehrlichiosis Caused by Ehrlichia ewingii, United States, 2013-2021",Yes,USA,Ehrlichia ewingii
10.3201/eid3101.241030,"Ongoing Evolution of Middle East Respiratory Syndrome Coronavirus, Saudi Arabia, 2023-2024",Yes,Saudi Arabia,MERS-CoV
10.3201/eid3102.241146,"Human Infection with Avian Influenza A(H9N2) Virus, Vietnam, April 2024",Yes,Vietnam,Influenza A/H9N2
10.3201/eid3101.241236,"Replication Restriction of Influenza A(H5N1) Clade 2.3.4.4b Viruses by Human Immune Factor, 2023-2024",No,,
10.3201/eid3101.241426,Cefiderocol Resistance Conferred by Plasmid-Located Ferric Citrate Transport System in KPC-Producing Klebsiella pneumoniae,No,,
10.3201/eid3102.240880,"Streptococcus pyogenes emm Type 3.93 Emergence, the Netherlands and England",Yes,"The Netherlands,United Kingdom",Streptococcus pyogenes
10.3201/eid3102.241069,"Bayou Hantavirus Cardiopulmonary Syndrome, Louisiana, USA, 2022-2023",Yes,USA,Bayou virus
10.3201/eid3102.240906,"Detection of Chronic Wasting Disease Prions in Raw, Processed, and Cooked Elk Meat, Texas, USA",Yes,USA,Chronic wasting disease
10.3201/eid3102.241532,Sin Nombre Virus as Unlikely Reverse Zoonotic Threat,No,,
10.3201/eid3101.240923,"Spread of Antifungal-Resistant Trichophyton indotineae, United Kingdom, 2017-2024",Yes,United Kingdom,Trichophyton indotineae
10.3201/eid3101.241210,"Influenza A(H5N1) Virus Clade 2.3.2.1a in Traveler Returning to Australia from India, 2024",Yes,"Australia,India",Influenza A/H5N1
